GID_0,NAME_0,GID_1,NAME_1,VARNAME_1,NL_NAME_1,TYPE_1,ENGTYPE_1,CC_1,HASC_1
PAK,Pakistan,PAK.1_1,Azad Kashmir,Kashmir,,Centrally Administered Area,Centrally Administered Area,,PK.JK
PAK,Pakistan,PAK.2_1,Baluchistan,Balochistan|B̩loutchistanBeluchistan|Baluchisṭo,,Province,Province,,PK.BA
PAK,Pakistan,PAK.3_1,F.A.T.A.,Federally Administered Tribal Areas,,Territory,Territory,,PK.TA
PAK,Pakistan,PAK.4_1,F.C.T.,Islamabad|Federal Capital Territory|Federal Capital Territory Islamabad|Territoire de la Capitale f̩d̩rale,,Capital Territory,Capital Territory,,PK.IS
PAK,Pakistan,PAK.5_1,N.W.F.P.,North-West Frontier Province,,Province,Province,,PK.NW
PAK,Pakistan,PAK.6_1,Northern Areas,,,Centrally Administered Area,Centrally Administered Area,,PK.NA
PAK,Pakistan,PAK.7_1,Punjab,Pendjab|Penjab,,Province,Province,,PK.PB
PAK,Pakistan,PAK.8_1,Sind,Sindh,,Province,Province,,PK.SD
